"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
203586.00,1028.00,4248.00,"Caulleriella","viridis var pacifica","E. Berkeley 1929",,,191450,0,0,0
203592.00,1033.00,4254.00,"Chaetozone","spinosa corona","Berkeley & Berkeley 1941",,,191750,0,0,0
203594.00,1034.00,4256.00,"Caulleriella","gracilis","Hartman 1969 not (Moore 1923)",,,191800,0,0,0
203595.00,1034.00,4257.00,"Chaetozone","gracilis","of Hartman 1961 not (Moore 1923)",,,191800,0,0,0
203603.00,1041.00,4265.00,"Caulleriella","gracilis","of Berkeley & Berkeley 1952 not (Moore 1923)",,,192200,0,0,0
203604.00,1041.00,4266.00,"Chaetozone","berkeleyorum","Banse & Hobson 1968",,,192200,0,0,0
203605.00,1041.00,4267.00,"Cirratulus","cirratus","of Hartman 1969 not (O. F. Müller 1776)",,,192200,1,1,1
203607.00,1042.00,4269.00,"Chaetozone","multioculata","Hartman 1961",,,192300,1,1,1
203609.00,1043.00,4271.00,"Cirratulus","spirabranchus","Moore 1904",,,192350,1,1,1
203611.00,1044.00,4273.00,"Terebella","tentaculata","Montagu 1808",,,192400,0,0,0
203619.00,1051.00,4281.00,"Monticellina","dorsobranchialis","of authors not (Kirkegaard 1959)",,,192850,0,0,0
203620.00,1051.00,4282.00,"Monticellina","sp A","of authors SCB",,,192850,0,0,0
203621.00,1051.00,4283.00,"Tharyx","sp A","Dorsey 1984 §",,,192850,0,0,0
203623.00,1052.00,4285.00,"Tharyx","luticastella","Jumars 1975",,,192900,1,1,1
203625.00,1053.00,4287.00,"Tharyx","serratiseta","Banse & Hobson 1968",,,192950,0,0,0
203626.00,1053.00,4288.00,"Aphelochaeta","serratiseta","of Blake 1991",,,192950,0,0,1
203628.00,1054.00,4290.00,"Monticellina","tesselata","of authors NEP not (Hartman 1960)",,,193000,0,0,0
203629.00,1054.00,4291.00,"Tharyx","tesselata","of authors NEP not Hartman 1960",,,193000,0,0,0
203631.00,1055.00,4293.00,"Tharyx","tesselata","Hartman 1960",,,193050,0,0,0
203634.00,1057.00,4296.00,"Protocirrineris","sp 1","Phillips 1995 §",,,193200,0,0,0
203636.00,1058.00,4298.00,"Protocirrineris","sp 2","Phillips 1995 §",,,193250,0,0,1
203638.00,1059.00,4300.00,"Cirratulus","luxuriosus","Moore 1904",,,193350,0,0,0
203639.00,1059.00,4301.00,"Cirriformia","luxuriosa","of Hartman 1969",,,193350,0,0,0
203642.00,1060.00,4214.00,"Heterocirrus","frontifilis","Grube 1860",,,190450,0,0,0
203648.00,1063.00,3254.00,"Eunotomastus","gordiodes","Moore 1909",,,153650,0,0,0
