SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200494,167,494,Polycladida,sp O,Phillips 1987,,,32350,0,0,0
200495,167,495,Polycladida,sp P,Phillips 1990,,,32350,0,0,0
200497,168,497,Eurylepta,sp LA1,Cadien 2001,,,32440,1,1,1
200507,174,507,Polycladida,sp M,Phillips 1987,,,33350,0,0,0
200508,174,508,Polycladida,sp R,Phillips 1991,,,33350,0,0,0
200514,176,514,Platyhelminthes,sp SD1,Pasko 2000,,,33800,1,1,1
200526,182,529,Carinoma,griffini,Coe 1901,,,35150,0,0,0
200527,182,530,Palaeonemertea,sp B,Paquette 1989,,,35150,0,0,0
200531,184,534,Carinella,albocincta,Coe 1904,,,35450,0,0,0
200533,185,536,Carinella,capistrata,Coe 1901,,,35500,0,0,0
200535,186,538,Carinella,cingulata,Coe 1904,,,35550,0,0,0
200537,187,540,Carinella,frenata,Coe 1904,,,35600,0,0,0
200539,188,542,Carinella,pellucida,Coe 1895,,,35650,0,0,0
200540,188,543,Carinella,rubra,Griffin 1898,,,35650,0,0,0
200541,188,544,Carinella,speciosa,Coe 1901,,,35650,0,0,0
200543,189,546,Tubulanus,nothus,of authors NEP not (Bürger 1892),,,35700,1,1,1
200546,191,549,Anopla,sp A,Phillips 1987 ,,,36150,1,1,1
200547,191,550,Tubulanidae,sp SD1,Pasko 1998,,,36150,1,1,1
200551,193,553,Palaeonemertea,sp C,SCAMIT 1995,,,36250,1,1,1
200568,206,570,Lineus,albolineatus,Coe 1904,,,37950,0,0,0
200572,209,574,Planaria,ruber,O. F. Müller 1771,,,38100,0,0,0
200573,209,575,Lineus,viridis,Coe 1901,,,38100,0,0,0
200579,214,581,Lineus,wilsoni,Coe 1904,,,38600,0,0,0
200583,216,585,Valencinia,rubens,Coe 1895,,,39050,0,0,0
200584,216,586,Anopla,sp D,SCAMIT 1995 ,,,39050,1,1,1
200585,216,587,Monostylifera,sp A,Ljubenkov 1989,,,39050,0,0,0
200586,216,588,Zygeupolia,littoralis,Thompson 1900,,,39050,0,0,0
200598,220,600,Nemertopsis,actinophila,Bürger 1904,,,40150,0,0,0
200599,220,601,Nemertopsella,actinophila,of Friedrich 1958,,,40150,0,0,0
200603,223,605,Monostylifera,sp SD1,CSD 1994,,,40450,1,1,1
200604,223,606,Paranemertes,sp A,SCAMIT 1984,,,40450,1,1,1
200607,225,609,Paranemertes,californica, of Coe 1940 not Coe 1904,,,40550,1,1,1
200610,226,612,Ototyphlonemertes (Otohelicophora),spiralis,of Envall 1996,,,40850,0,0,0
200613,227,615,Planaria,dorsalis,Abildgaard 1806,,,41050,0,0,0
200614,227,616,Tetrastemma,dorsalis,McIntosh 1873,,,41050,0,0,0
