"SortID","SpeciesID","SCAMIT_ID","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Subgenus","species","Describer","red","bold","non_standard_italic","AuthorRed","SubgenusRed"
33700.00,5855.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","uncertain","","uncertain","uncertain","","Polycladida",,,,1,0,1,0,0
31500.00,5857.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Acotylea","","uncertain","uncertain","","Polycladida",,,,0,0,0,0,0
380700.00,5858.00,,"CHORDATA","Urochordata","Ascidiacea","","","","Aplousobranchiata","","","","Polyclinidae","","Polyclinum",,,,0,0,0,0,0
204700.00,5859.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Spionida","","","Spionidae","","Polydora","","","",0,0,0,0,0
72900.00,5866.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Caenogastropoda","Hypsogastropoda","Ptenoglossa","","Eulimoidea","Eulimidae","","Polygireulima",,,,0,0,0,0,0
206900.00,5867.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","","","","Polygordiidae","","Polygordius","","","",1,0,0,0,0
162250.00,5868.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Aphroditiformia","Aphroditoidea","Acoetidae","","Polyodontes","","","",1,0,0,0,0
334900.00,5869.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Anomura","Galatheoidea","Porcellanidae","","Polyonyx",,,,0,0,0,0,0
158300.00,5870.00,,"ANNELIDA","","Polychaeta","Scolecida","","",,"","","","Opheliidae","","Polyophthalmus","","","",1,0,0,0,0
145800.00,5871.00,,"MOLLUSCA","","Scaphopoda","","","","Gadilida","Gadilimorpha","","","Gadilidae","Siphonodentaliinae","Polyschides",,,,1,0,0,0,0
272700.00,5872.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Eusirida","Eusiroidea","Eusiridae","","Pontogeneia",,,,0,0,0,0,0
350800.00,5874.00,,"ECHINODERMATA","Asterozoa","Asteroidea","","","Valvatacea","Spinulosida","Leptognathina","","","Poraniidae","","Poraniopsis",,,,0,0,0,0,0
342000.00,5875.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Portunoidea","Portunidae","","Portunus",,,,0,0,0,0,0
243300.00,5876.00,,"ARTHROPODA","Crustacea","Ostracoda","Myodocopa","","","Myodocopida","Myodocopina","","Cylindroleberidoidea","Cylindroleberididae","","Postasterope",,,,0,0,0,0,0
188750.00,5877.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Sabellida","","","Sabellidae","Sabellinae","Potamethus","","","",0,0,0,0,0
