"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
16250,72,228,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,Leptogorgia,,caryi,Verrill 1868,1,0,0,1,0
16300,73,231,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,Leptogorgia,,chilensis,Verrill 1868,1,0,0,1,0
16550,74,234,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,Muricea,,californica,Aurivillius 1931,0,0,0,0,0
16650,75,235,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,Swiftia,,sp,,0,0,1,0,0
16750,76,236,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,Thesea,,sp A,Ljubenkov 1986 §,0,0,1,0,0
16800,77,237,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,Thesea,,sp B,Ljubenkov 1986 §,0,0,1,0,0
17050,78,239,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Primnoidae,,Parastenella,,doederleini,(Wright & Studer 1889),0,0,0,0,0
17450,79,244,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Sessiliflorae,,,Renillidae,,Renilla,,koellikeri,Pfeffer 1886,1,0,0,0,0
17650,80,247,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Sessiliflorae,,,Stachyptilidae,,Stachyptilum,,superbum,Studer 1894,0,0,0,0,0
17950,81,250,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Ombellulidae,,Umbellula,,magniflora,Kölliker 1880,1,0,0,1,0
18150,82,253,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Anthoptilidae,,Anthoptilum,,grandiflorum,(Verrill 1879),1,0,0,1,0
18350,83,258,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Halipteridae,,Halipteris,,californica,(Moroff 1902),1,0,0,1,0
18550,84,264,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,Acanthoptilum,,sp,,0,0,1,0,0
18650,85,265,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,Stylatula,,elongata,(Gabb 1863),0,0,0,0,0
18700,86,270,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,Stylatula,,sp A,Ljubenkov 1991 §,0,0,1,0,0
